,complete,error,sol,sub_data,u,u_nom
0,False,False,"[[ 1.8163469e+00]
 [-9.1987014e-01]
 [ 1.1986923e-04]]","{'bfs': Array([2.3400782e-17, 2.2014733e-16, 5.0079346e-10], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.019346], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8163469  -0.91987014],[0. 0. 0.]
1,False,False,"[[ 1.76651037e+00]
 [-9.93175149e-01]
 [ 1.18761156e-04]]","{'bfs': Array([8.0136067e-18, 2.7893957e-16, 3.9502165e-10], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.187601], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.7665104  -0.99317515],[0. 0. 0.]
2,False,False,"[[ 1.8796790e+00]
 [-8.5390806e-01]
 [ 1.2325365e-04]]","{'bfs': Array([1.1609759e-16, 3.7006954e-16, 1.0655825e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.524103], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.879679   -0.85390806],[0. 0. 0.]
3,False,False,"[[ 1.8672570e+00]
 [-8.8343894e-01]
 [ 1.2337668e-04]]","{'bfs': Array([9.0863276e-17, 4.7928205e-16, 1.1220093e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.50472], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.867257   -0.88343894],[0. 0. 0.]
4,False,False,"[[ 1.8681295e+00]
 [-8.9376026e-01]
 [ 1.2402024e-04]]","{'bfs': Array([9.8333987e-17, 6.1881908e-16, 1.2975603e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.416224], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8681295  -0.89376026],[0. 0. 0.]
5,False,False,"[[ 1.9240220e+00]
 [-8.2561690e-01]
 [ 1.2675539e-04]]","{'bfs': Array([3.9085642e-16, 8.0453778e-16, 2.2873277e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.03951], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.924022  -0.8256169],[0. 0. 0.]
6,False,False,"[[ 1.9167167e+00]
 [-8.4941721e-01]
 [ 1.2709698e-04]]","{'bfs': Array([3.4700425e-16, 1.0417492e-15, 2.4892532e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.993687], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9167167 -0.8494172],[0. 0. 0.]
7,False,False,"[[ 1.9977158e+00]
 [-7.3597068e-01]
 [ 1.3106265e-04]]","{'bfs': Array([2.6231763e-15, 1.3325700e-15, 5.2983413e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.4789], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9977158 -0.7359707],[0. 0. 0.]
8,False,False,"[[ 1.9440715e+00]
 [-8.3606595e-01]
 [ 1.2951078e-04]]","{'bfs': Array([7.5276062e-16, 1.7479457e-15, 4.0616435e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.679169], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9440715  -0.83606595],[0. 0. 0.]
9,False,False,"[[ 1.9521804e+00]
 [-8.3765948e-01]
 [ 1.3047527e-04]]","{'bfs': Array([9.7364680e-16, 2.2592588e-15, 4.9545328e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.551573], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9521804 -0.8376595],[0. 0. 0.]
10,False,False,"[[ 1.9375186e+00]
 [-8.7209588e-01]
 [ 1.3057179e-04]]","{'bfs': Array([7.4435403e-16, 2.8975614e-15, 5.0005018e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.54462], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9375186 -0.8720959],[0. 0. 0.]
11,False,False,"[[ 1.9417154e+00]
 [-8.7916839e-01]
 [ 1.3135650e-04]]","{'bfs': Array([8.7569607e-16, 3.7332808e-15, 5.8434142e-09], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.440361], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9417154 -0.8791684],[0. 0. 0.]
12,False,False,"[[ 2.0361288e+00]
 [-7.5045270e-01]
 [ 1.3613200e-04]]","{'bfs': Array([8.2099177e-15, 4.9237123e-15, 1.4272246e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.860874], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0361288 -0.7504527],[0. 0. 0.]
13,False,False,"[[ 2.0425739e+00]
 [-7.5608939e-01]
 [ 1.3716894e-04]]","{'bfs': Array([1.00076375e-14, 6.40389815e-15, 1.71103363e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.744595], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.042574  -0.7560894],[0. 0. 0.]
14,False,False,"[[ 2.0226450e+00]
 [-8.0370361e-01]
 [ 1.3696027e-04]]","{'bfs': Array([6.6342289e-15, 8.2866588e-15, 1.6448794e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.768586], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.022645  -0.8037036],[0. 0. 0.]
15,False,False,"[[ 2.0298545e+00]
 [-8.0779439e-01]
 [ 1.3797940e-04]]","{'bfs': Array([8.3099895e-15, 1.0733515e-14, 1.9672777e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.648673], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0298545 -0.8077944],[0. 0. 0.]
16,False,False,"[[ 2.0575345e+00]
 [-7.8057957e-01]
 [ 1.3993499e-04]]","{'bfs': Array([1.6451348e-14, 1.3995886e-14, 2.7870033e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.422157], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0575345  -0.78057957],[0. 0. 0.]
17,False,False,"[[ 2.0656643e+00]
 [-7.8404701e-01]
 [ 1.4118932e-04]]","{'bfs': Array([2.0826860e-14, 1.8166341e-14, 3.3420509e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.299423], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0656643 -0.784047 ],[0. 0. 0.]
18,False,False,"[[ 2.1184986e+00]
 [-7.1482557e-01]
 [ 1.4457940e-04]]","{'bfs': Array([7.2829438e-14, 2.3769600e-14, 5.8425034e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.940187], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.1184986 -0.7148256],[0. 0. 0.]
19,False,False,"[[ 2.1408894e+00]
 [-6.9498414e-01]
 [ 1.4650880e-04]]","{'bfs': Array([1.2721112e-13, 3.0959803e-14, 7.9064442e-08], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.741597], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.1408894  -0.69498414],[0. 0. 0.]
20,False,False,"[[ 2.163473e+00]
 [-6.747886e-01]
 [ 1.485370e-04]]","{'bfs': Array([2.2338599e-13, 4.0309939e-14, 1.0719232e-07], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.541585], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.163473  -0.6747886],[0. 0. 0.]
