,complete,error,sol,sub_data,u,u_nom
0,False,False,"[[ 6.221565 ]
 [-4.1308947]]","{'bfs': Array([1.9022995e-36, 3.2627248e-04, 1.2701813e-13], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.221565  -4.1308947],[ 6.22254  -4.131542]
1,False,False,"[[ 6.246922 ]
 [-3.9034996]]","{'bfs': Array([2.6746724e-35, 4.9954763e-04, 3.2581674e-13], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.246922  -3.9034996],[ 6.247901  -3.9041114]
2,False,False,"[[ 6.2569675]
 [-3.68828  ]]","{'bfs': Array([3.4941992e-34, 7.4935867e-04, 8.1560475e-13], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.2569675 -3.68828  ],[ 6.2579484 -3.6888583]
3,False,False,"[[ 6.2538137]
 [-3.4848654]]","{'bfs': Array([4.2426049e-33, 1.1019985e-03, 1.9926704e-12], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.2538137 -3.4848654],[ 6.254794  -3.4854116]
4,False,False,"[[ 6.2393427]
 [-3.292824 ]]","{'bfs': Array([4.7904965e-32, 1.5897468e-03, 4.7524762e-12], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.2393427 -3.292824 ],[ 6.2403207 -3.2933402]
5,False,False,"[[ 6.2152276]
 [-3.1116838]]","{'bfs': Array([5.0341119e-31, 2.2512160e-03, 1.1066945e-11], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.2152276 -3.1116838],[ 6.2162013 -3.1121714]
6,False,False,"[[ 6.182944 ]
 [-2.9409463]]","{'bfs': Array([4.9284852e-30, 3.1314022e-03, 2.5169507e-11], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.182944  -2.9409463],[ 6.1839128 -2.9414072]
7,False,False,"[[ 6.143787 ]
 [-2.7800999]]","{'bfs': Array([4.5008974e-29, 4.2814133e-03, 5.5923492e-11], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.143787  -2.7800999],[ 6.1447496 -2.7805357]
8,False,False,"[[ 6.098898 ]
 [-2.6286347]]","{'bfs': Array([3.8393666e-28, 5.7577919e-03, 1.2143406e-10], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.098898  -2.6286347],[ 6.0998535 -2.629047 ]
9,False,False,"[[ 6.049267]
 [-2.486041]]","{'bfs': Array([3.0638501e-27, 7.6214173e-03, 2.5779670e-10], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 6.049267 -2.486041],[ 6.050215 -2.486431]
10,False,False,"[[ 5.9957504]
 [-2.3518212]]","{'bfs': Array([2.2909843e-26, 9.9360226e-03, 5.3528554e-10], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.9957504 -2.3518212],[ 5.99669 -2.35219]
11,False,False,"[[ 5.9391017]
 [-2.2254934]]","{'bfs': Array([1.6079055e-25, 1.2766321e-02, 1.0875737e-09], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.9391017 -2.2254934],[ 5.940031  -2.2258425]
12,False,False,"[[ 5.879962 ]
 [-2.1065927]]","{'bfs': Array([1.0610558e-24, 1.6175862e-02, 2.1631874e-09], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.879962  -2.1065927],[ 5.8808823 -2.1069236]
13,False,False,"[[ 5.81889  ]
 [-1.9946758]]","{'bfs': Array([6.5952389e-24, 2.0224649e-02, 4.2140424e-09], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.81889   -1.9946758],[ 5.8197994 -1.9949895]
14,False,False,"[[ 5.756365 ]
 [-1.8893188]]","{'bfs': Array([3.8682785e-23, 2.4966680e-02, 8.0442559e-09], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.756365  -1.8893188],[ 5.757264  -1.8896167]
15,False,False,"[[ 5.692793 ]
 [-1.7901196]]","{'bfs': Array([2.1447512e-22, 3.0447463e-02, 1.5054614e-08], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.692793  -1.7901196],[ 5.693681  -1.7904027]
16,False,False,"[[ 5.6285257]
 [-1.6966987]]","{'bfs': Array([1.1261038e-21, 3.6701687e-02, 2.7635432e-08], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.6285257 -1.6966987],[ 5.6294026 -1.6969681]
17,False,False,"[[ 5.5638657]
 [-1.6086977]]","{'bfs': Array([5.6090067e-21, 4.3751244e-02, 4.9784543e-08], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.5638657 -1.6086977],[ 5.564731  -1.6089544]
18,False,False,"[[ 5.4990573]
 [-1.5257791]]","{'bfs': Array([2.6549212e-20, 5.1603358e-02, 8.8058201e-08], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.4990573 -1.5257791],[ 5.499911  -1.5260247]
19,False,False,"[[ 5.4343185]
 [-1.4476261]]","{'bfs': Array([1.1962064e-19, 6.0249541e-02, 1.5300594e-07], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.4343185 -1.4476261],[ 5.43516   -1.4478617]
20,False,False,"[[ 5.36983  ]
 [-1.3739421]]","{'bfs': Array([5.1388399e-19, 6.9664612e-02, 2.6128953e-07], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.36983   -1.3739421],[ 5.3706594 -1.3741684]
21,False,False,"[[ 5.3057375]
 [-1.304448 ]]","{'bfs': Array([2.1082768e-18, 7.9806596e-02, 4.3875480e-07], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.3057375 -1.304448 ],[ 5.306554 -1.304666]
22,False,False,"[[ 5.2421694]
 [-1.2388831]]","{'bfs': Array([8.2730328e-18, 9.0616994e-02, 7.2479304e-07], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.2421694 -1.2388831],[ 5.2429748 -1.2390941]
23,False,False,"[[ 5.1792245]
 [-1.1770034]]","{'bfs': Array([3.10977691e-17, 1.02021605e-01, 1.17841807e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.1792245 -1.1770034],[ 5.1800184 -1.1772082]
24,False,False,"[[ 5.11699 ]
 [-1.118581]]","{'bfs': Array([1.12138268e-16, 1.13932006e-01, 1.88658851e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.11699  -1.118581],[ 5.1177726 -1.1187803]
25,False,False,"[[ 5.0555296]
 [-1.0634031]]","{'bfs': Array([3.8845884e-16, 1.2624694e-01, 2.9753551e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 5.0555296 -1.0634031],[ 5.056301  -1.0635974]
26,False,False,"[[ 4.9949007]
 [-1.0112704]]","{'bfs': Array([1.2944665e-15, 1.3885491e-01, 4.6245959e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.9949007 -1.0112704],[ 4.99566   -1.0114598]
27,False,False,"[[ 4.93514  ]
 [-0.9619961]]","{'bfs': Array([4.1548419e-15, 1.5163614e-01, 7.0870278e-06], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.93514   -0.9619961],[ 4.9358907  -0.96218145]
28,False,False,"[[ 4.8762827]
 [-0.9154072]]","{'bfs': Array([1.2861143e-14, 1.6446546e-01, 1.0712457e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.8762827 -0.9154072],[ 4.8770227  -0.91558826]
29,False,False,"[[ 4.8183513 ]
 [-0.87134105]]","{'bfs': Array([3.8440178e-14, 1.7721468e-01, 1.5977963e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.8183513  -0.87134105],[ 4.8190827 -0.871518 ]
30,False,False,"[[ 4.7613573]
 [-0.829646 ]]","{'bfs': Array([1.11065406e-13, 1.89755470e-01, 2.35249554e-05], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 4.7613573 -0.829646 ],[ 4.7620807  -0.82981837]
