,complete,error,sol,sub_data,u,u_nom
0,False,False,"[[ 1.7842438e+00]
 [-6.3127264e-02]
 [ 9.2178947e-05]]","{'bfs': Array([3.5979957e-14, 3.0686825e-26, 2.2431614e-26], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([23.437267], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.7842438  -0.06312726],[0. 0. 0.]
1,False,False,"[[ 1.8161193e+00]
 [-1.7808789e-01]
 [ 9.6294134e-05]]","{'bfs': Array([1.7950665e-13, 2.0181505e-25, 5.3112595e-25], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.434336], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8161193  -0.17808789],[0. 0. 0.]
2,False,False,"[[ 1.7834409e+00]
 [-6.8976567e-03]
 [ 9.1981761e-05]]","{'bfs': Array([2.3532230e-14, 3.0802467e-26, 1.9246594e-26], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([23.487446], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.783441   -0.00689766],[0. 0. 0.]
3,False,False,"[[ 1.8046479e+00]
 [-6.0633689e-02]
 [ 9.4262279e-05]]","{'bfs': Array([5.4815815e-14, 9.2228982e-26, 1.1726723e-25], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.91368], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8046479  -0.06063369],[0. 0. 0.]
4,False,False,"[[ 1.8188131e+00]
 [-8.9302473e-02]
 [ 9.5891141e-05]]","{'bfs': Array([9.1384481e-14, 1.9594416e-25, 3.9405993e-25], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.528696], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8188131  -0.08930247],[0. 0. 0.]
5,False,False,"[[ 1.8066647e+00]
 [-1.5530551e-02]
 [ 9.4399104e-05]]","{'bfs': Array([4.0737440e-14, 1.0707650e-25, 1.2848274e-25], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.885849], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8066647  -0.01553055],[0. 0. 0.]
6,False,False,"[[ 1.8259397e+00]
 [-6.0986221e-02]
 [ 9.6526295e-05]]","{'bfs': Array([8.3944570e-14, 2.8303279e-25, 6.2655746e-25], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([22.381626], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8259397  -0.06098622],[0. 0. 0.]
7,False,False,"[[1.795377e+00]
 [6.638041e-02]
 [9.331838e-05]]","{'bfs': Array([1.7896846e-14, 7.3913543e-26, 5.7369047e-26], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([23.145296], dtype=float32), 'violated': Array(False, dtype=bool)}",[1.795377   0.06638041],[0. 0. 0.]
8,False,False,"[[ 1.8429973e+00]
 [-7.3293999e-02]
 [ 9.8378259e-05]]","{'bfs': Array([1.2519925e-13, 6.7892412e-25, 2.3617184e-24], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.95911], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8429973 -0.073294 ],[0. 0. 0.]
9,False,False,"[[ 1.8544042e+00]
 [-8.9105606e-02]
 [ 9.9676538e-05]]","{'bfs': Array([1.7479741e-13, 1.2054704e-24, 5.7790830e-24], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.673613], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8544042  -0.08910561],[0. 0. 0.]
10,False,False,"[[ 1.8760772e+00]
 [-1.4829572e-01]
 [ 1.0240046e-04]]","{'bfs': Array([4.1485907e-13, 3.6847764e-24, 3.5594679e-23], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.09306], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8760772  -0.14829572],[0. 0. 0.]
11,False,False,"[[ 1.8892866e+00]
 [-1.7125070e-01]
 [ 1.0405075e-04]]","{'bfs': Array([6.3638081e-13, 7.1705705e-24, 1.0134412e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.75836], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8892866 -0.1712507],[0. 0. 0.]
12,False,False,"[[ 1.8590403e+00]
 [-1.8111017e-02]
 [ 9.9954384e-05]]","{'bfs': Array([1.1495855e-13, 1.5645715e-24, 6.9913303e-24], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.61332], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8590403  -0.01811102],[0. 0. 0.]
13,False,False,"[[ 1.87272656e+00]
 [-3.91977355e-02]
 [ 1.01445694e-04]]","{'bfs': Array([1.7212550e-13, 2.9670877e-24, 1.9093058e-23], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([21.2917], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.8727266  -0.03919774],[0. 0. 0.]
14,False,False,"[[ 1.90022469e+00]
 [-1.13492921e-01]
 [ 1.04774015e-04]]","{'bfs': Array([4.9040541e-13, 1.0820250e-23, 1.5768502e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.614979], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9002247  -0.11349292],[0. 0. 0.]
15,False,False,"[[ 1.9131427e+00]
 [-1.3201970e-01]
 [ 1.0632997e-04]]","{'bfs': Array([7.1106570e-13, 1.9830931e-23, 4.0360858e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.313162], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9131427 -0.1320197],[0. 0. 0.]
16,False,False,"[[ 1.91634667e+00]
 [-1.09853104e-01]
 [ 1.06529580e-04]]","{'bfs': Array([6.4047476e-13, 2.2352891e-23, 4.5366126e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.275013], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9163467 -0.1098531],[0. 0. 0.]
17,False,False,"[[ 1.9294190e+00]
 [-1.2749682e-01]
 [ 1.0810414e-04]]","{'bfs': Array([9.2093889e-13, 4.0504432e-23, 1.1364696e-21], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.979485], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.929419   -0.12749682],[0. 0. 0.]
18,False,False,"[[ 1.91844141e+00]
 [-5.26730567e-02]
 [ 1.06500884e-04]]","{'bfs': Array([4.4477329e-13, 2.4354156e-23, 4.4177488e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.282719], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9184414  -0.05267306],[0. 0. 0.]
19,False,False,"[[ 1.92356944e+00]
 [-4.12570499e-02]
 [ 1.07052205e-04]]","{'bfs': Array([4.4904298e-13, 3.0949976e-23, 6.0726967e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.180058], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9235694  -0.04125705],[0. 0. 0.]
20,False,False,"[[ 1.9284558e+00]
 [-2.9343944e-02]
 [ 1.0755188e-04]]","{'bfs': Array([4.4863803e-13, 3.9006411e-23, 8.2213271e-22], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([20.082243], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9284558  -0.02934394],[0. 0. 0.]
21,False,False,"[[ 1.9500358e+00]
 [-7.4377827e-02]
 [ 1.1011445e-04]]","{'bfs': Array([8.8125183e-13, 9.6735337e-23, 3.4774544e-21], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.616726], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9500358  -0.07437783],[0. 0. 0.]
22,False,False,"[[ 1.9588035e+00]
 [-7.4275926e-02]
 [ 1.1112847e-04]]","{'bfs': Array([1.0184302e-12, 1.4098983e-22, 5.9961377e-21], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.440273], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9588035  -0.07427593],[0. 0. 0.]
23,False,False,"[[ 1.96298683e+00]
 [-5.75819761e-02]
 [ 1.11526075e-04]]","{'bfs': Array([9.7009477e-13, 1.6944389e-22, 7.4713433e-21], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([19.368597], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9629868  -0.05758198],[0. 0. 0.]
24,False,False,"[[ 2.01297593e+00]
 [-2.17847928e-01]
 [ 1.18547454e-04]]","{'bfs': Array([6.7558164e-12, 1.4933711e-21, 2.6002267e-19], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.220547], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.012976   -0.21784793],[0. 0. 0.]
25,False,False,"[[ 1.9996662e+00]
 [-1.1980791e-01]
 [ 1.1602189e-04]]","{'bfs': Array([2.7428788e-12, 7.5561227e-22, 7.6534576e-20], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.614271], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.9996662  -0.11980791],[0. 0. 0.]
26,False,False,"[[ 2.02015638e+00]
 [-1.60757571e-01]
 [ 1.18759104e-04]]","{'bfs': Array([5.0749214e-12, 1.7505026e-21, 2.8439625e-19], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.187986], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0201564  -0.16075757],[0. 0. 0.]
27,False,False,"[[ 2.0194926e+00]
 [-1.1830216e-01]
 [ 1.1832367e-04]]","{'bfs': Array([3.7788570e-12, 1.6312495e-21, 2.3173703e-19], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.252823], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0194926  -0.11830216],[0. 0. 0.]
28,False,False,"[[ 2.0163019e+00]
 [-7.1438253e-02]
 [ 1.1772467e-04]]","{'bfs': Array([2.6453384e-12, 1.4355256e-21, 1.7155140e-19], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([18.349188], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0163019  -0.07143825],[0. 0. 0.]
29,False,False,"[[ 2.0481081e+00]
 [-1.4913996e-01]
 [ 1.2194628e-04]]","{'bfs': Array([7.2833545e-12, 4.9134528e-21, 1.2125719e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.712675], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.048108   -0.14913996],[0. 0. 0.]
30,False,False,"[[ 2.0503032e+00]
 [-1.1746700e-01]
 [ 1.2195861e-04]]","{'bfs': Array([6.1333512e-12, 5.1877997e-21, 1.2145162e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.71046], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0503032 -0.117467 ],[0. 0. 0.]
31,False,False,"[[ 2.0668766e+00]
 [-1.3841547e-01]
 [ 1.2407769e-04]]","{'bfs': Array([9.0790743e-12, 9.5769404e-21, 3.0648345e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.40758], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0668766  -0.13841547],[0. 0. 0.]
32,False,False,"[[ 2.0859082e+00]
 [-1.6827220e-01]
 [ 1.2662077e-04]]","{'bfs': Array([1.4761886e-11, 1.9377711e-20, 8.9712188e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.055883], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0859082 -0.1682722],[0. 0. 0.]
33,False,False,"[[ 2.0810223e+00]
 [-1.0897705e-01]
 [ 1.2555682e-04]]","{'bfs': Array([9.4295509e-12, 1.5563898e-20, 5.7212141e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.200527], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0810223  -0.10897705],[0. 0. 0.]
34,False,False,"[[ 2.0906382e+00]
 [-1.0363499e-01]
 [ 1.2670262e-04]]","{'bfs': Array([1.05563665e-11, 2.17750660e-20, 9.10068411e-18], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.04718], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.0906382  -0.10363499],[0. 0. 0.]
35,False,False,"[[ 2.1111839e+00]
 [-1.3513093e-01]
 [ 1.2942046e-04]]","{'bfs': Array([1.7391033e-11, 4.4512136e-20, 2.6954076e-17], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.690378], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.111184   -0.13513093],[0. 0. 0.]
36,False,False,"[[ 2.1281269e+00]
 [-1.5346166e-01]
 [ 1.3162581e-04]]","{'bfs': Array([2.4981260e-11, 7.9465665e-20, 6.3705355e-17], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.406784], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.1281269  -0.15346166],[0. 0. 0.]
37,False,False,"[[ 2.1365499e+00]
 [-1.4023882e-01]
 [ 1.3257169e-04]]","{'bfs': Array([2.60637466e-11, 1.03568066e-19, 8.98159922e-17], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.291904], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.13655    -0.14023882],[0. 0. 0.]
38,False,False,"[[ 2.1491868e+00]
 [-1.4137462e-01]
 [ 1.3412646e-04]]","{'bfs': Array([3.1475839e-11, 1.5571210e-19, 1.5977204e-16], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.10064], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.1491868  -0.14137462],[0. 0. 0.]
39,False,False,"[[ 2.1750438e+00]
 [-1.8838261e-01]
 [ 1.3792384e-04]]","{'bfs': Array([6.0134973e-11, 3.6625040e-19, 5.8769253e-16], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.670588], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.1750438  -0.18838261],[0. 0. 0.]
40,False,False,"[[ 2.1756711e+00]
 [-1.4393197e-01]
 [ 1.3749310e-04]]","{'bfs': Array([4.669500e-11, 3.569129e-19, 5.150348e-16], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.711053], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.175671   -0.14393197],[0. 0. 0.]
41,False,False,"[[ 2.193902e+00]
 [-1.617370e-01]
 [ 1.399322e-04]]","{'bfs': Array([6.6840311e-11, 6.3145665e-19, 1.1876880e-15], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.433391], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.193902 -0.161737],[0. 0. 0.]
42,False,False,"[[ 2.2090709e+00]
 [-1.6744111e-01]
 [ 1.4194999e-04]]","{'bfs': Array([8.5101565e-11, 9.9599722e-19, 2.2684474e-15], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.217269], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.209071   -0.16744111],[0. 0. 0.]
43,False,False,"[[ 2.2322254e+00]
 [-1.9975249e-01]
 [ 1.4526478e-04]]","{'bfs': Array([1.3999385e-10, 2.0131059e-18, 6.4486363e-15], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.869599], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.2322254 -0.1997525],[0. 0. 0.]
44,False,False,"[[ 2.2603133e+00]
 [-2.4909373e-01]
 [ 1.4955176e-04]]","{'bfs': Array([2.6931046e-10, 4.7320290e-18, 2.3250531e-14], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.442808], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.2603133  -0.24909373],[0. 0. 0.]
