,complete,error,sol,sub_data,u,u_nom
0,False,False,"[[ 1.4139918 ]
 [-0.88374794]]","{'bfs': Array([3.5357501e-05, 1.3162768e-01, 4.8423130e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4139918  -0.88374794],[ 1.4142138 -0.8838836]
1,False,False,"[[ 1.4153408]
 [-0.8730661]]","{'bfs': Array([4.3246531e-05, 1.3164444e-01, 5.0135255e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4153408 -0.8730661],[ 1.4155632  -0.87319976]
2,False,False,"[[ 1.4163052 ]
 [-0.86250865]]","{'bfs': Array([5.2757132e-05, 1.3155599e-01, 5.1865797e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4163052  -0.86250865],[ 1.4165279 -0.8626402]
3,False,False,"[[ 1.4168975]
 [-0.8520755]]","{'bfs': Array([6.4189720e-05, 1.3136299e-01, 5.3613052e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4168975 -0.8520755],[ 1.4171205 -0.8522049]
4,False,False,"[[ 1.4171298]
 [-0.8417666]]","{'bfs': Array([7.7893441e-05, 1.3106635e-01, 5.5375323e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4171298 -0.8417666],[ 1.417353   -0.84189415]
5,False,False,"[[ 1.4170139]
 [-0.8315823]]","{'bfs': Array([9.4271745e-05, 1.3066745e-01, 5.7150766e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4170139 -0.8315823],[ 1.4172374 -0.8317079]
6,False,False,"[[ 1.4166516]
 [-0.8215719]]","{'bfs': Array([1.1379034e-04, 1.3016799e-01, 5.8937620e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4166516 -0.8215719],[ 1.4167858 -0.8216459]
7,False,False,"[[ 1.4164366]
 [-0.8106673]]","{'bfs': Array([0.00013699, 0.12956971, 0.0607341 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4164366 -0.8106673],[ 1.4160087 -0.8117076]
8,False,False,"[[ 1.4230826]
 [-0.784324 ]]","{'bfs': Array([0.00016447, 0.1288814 , 0.06253355], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4230826 -0.784324 ],[ 1.4148984 -0.8019052]
9,False,False,"[[ 1.4279639 ]
 [-0.75928307]]","{'bfs': Array([0.0001969 , 0.12820472, 0.06425804], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4279639  -0.75928307],[ 1.413147 -0.792427]
10,False,False,"[[ 1.431748]
 [-0.734453]]","{'bfs': Array([0.00023504, 0.12753215, 0.06590483], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.431748 -0.734453],[ 1.4108086  -0.78325915]
11,False,False,"[[ 1.4344565]
 [-0.709907 ]]","{'bfs': Array([0.00027974, 0.1268637 , 0.06746641], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4344565 -0.709907 ],[ 1.4079112 -0.7744009]
12,False,False,"[[ 1.4361122]
 [-0.6857072]]","{'bfs': Array([0.00033197, 0.12619902, 0.06893589], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4361122 -0.6857072],[ 1.4044821 -0.76585  ]
13,False,False,"[[ 1.4366789 ]
 [-0.66208243]]","{'bfs': Array([0.00039278, 0.125538  , 0.07030715], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4366789  -0.66208243],[ 1.4005511 -0.7576031]
14,False,False,"[[ 1.4364794]
 [-0.6382887]]","{'bfs': Array([0.00046335, 0.12487888, 0.07157592], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4364794 -0.6382887],[ 1.3961487 -0.7496543]
15,False,False,"[[ 1.4355909 ]
 [-0.61421233]]","{'bfs': Array([0.00054497, 0.12422487, 0.07273438], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4355909  -0.61421233],[ 1.3912921  -0.74200594]
16,False,False,"[[ 1.4330907]
 [-0.5926613]]","{'bfs': Array([0.00063905, 0.12357973, 0.07377458], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4330907 -0.5926613],[ 1.3859944  -0.73466146]
17,False,False,"[[ 1.43018  ]
 [-0.5702878]]","{'bfs': Array([0.00074714, 0.12293103, 0.07470439], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.43018   -0.5702878],[ 1.3803196  -0.72759104]
18,False,False,"[[ 1.4264601]
 [-0.5483705]]","{'bfs': Array([0.00087092, 0.12228617, 0.0755145 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4264601 -0.5483705],[ 1.3742692 -0.7208042]
19,False,False,"[[ 1.4219736 ]
 [-0.52691424]]","{'bfs': Array([0.00101219, 0.12164478, 0.07620297], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4219736  -0.52691424],[ 1.367867  -0.7142952]
20,False,False,"[[ 1.4167602]
 [-0.5059296]]","{'bfs': Array([0.00117289, 0.12100707, 0.07676852], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4167602 -0.5059296],[ 1.3611354  -0.70805824]
21,False,False,"[[ 1.4108591 ]
 [-0.48542735]]","{'bfs': Array([0.00135512, 0.12037291, 0.07721087], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.4108591  -0.48542735],[ 1.3540968 -0.7020868]
22,False,False,"[[ 1.404308 ]
 [-0.4654167]]","{'bfs': Array([0.00156108, 0.11974235, 0.07753022], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.404308  -0.4654167],[ 1.3467729 -0.6963749]
23,False,False,"[[ 1.3971434 ]
 [-0.44590536]]","{'bfs': Array([0.00179312, 0.11911527, 0.07772762], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3971434  -0.44590536],[ 1.3391825 -0.6909155]
24,False,False,"[[ 1.3894033 ]
 [-0.42689922]]","{'bfs': Array([0.00205374, 0.11849181, 0.0778048 ], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3894033  -0.42689922],[ 1.3313469  -0.68570226]
25,False,False,"[[ 1.3811228]
 [-0.4084033]]","{'bfs': Array([0.00234553, 0.11787184, 0.07776413], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3811228 -0.4084033],[ 1.3232843  -0.68072826]
26,False,False,"[[ 1.3723354 ]
 [-0.39041975]]","{'bfs': Array([0.00267123, 0.1172555 , 0.07760856], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3723354  -0.39041975],[ 1.3150125 -0.6759861]
27,False,False,"[[ 1.3630949 ]
 [-0.37282333]]","{'bfs': Array([0.00303367, 0.11664267, 0.07734162], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.3630949  -0.37282333],[ 1.3065494  -0.67146903]
28,False,False,"[[ 1.2929488]
 [-0.3466109]]","{'bfs': Array([0.00343579, 0.11603395, 0.07696661], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.2929488 -0.3466109],[ 1.2979087  -0.66717154]
29,False,False,"[[ 1.171755 ]
 [-0.3124947]]","{'bfs': Array([0.00386054, 0.1154232 , 0.07654604], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.171755  -0.3124947],[ 1.2895908 -0.6631902]
30,False,False,"[[ 1.0813639 ]
 [-0.28702384]]","{'bfs': Array([0.00428585, 0.11482068, 0.07613368], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.0813639  -0.28702384],[ 1.2820073 -0.6596122]
31,False,False,"[[ 1.0086151 ]
 [-0.26656553]]","{'bfs': Array([0.00471533, 0.11422428, 0.07572718], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 1.0086151  -0.26656553],[ 1.2749728 -0.6563357]
32,False,False,"[[ 0.94955623]
 [-0.24994956]]","{'bfs': Array([0.0051504 , 0.1136336 , 0.07532602], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.94955623 -0.24994956],[ 1.268379   -0.65330124]
