,complete,error,sol,sub_data,u,u_nom
0,False,False,"[[0.]
 [0.]]","{'bfs': Array([4., 8.], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.],[0. 0.]
1,False,False,"[[ 3.0182665e-03]
 [-7.2821273e-08]]","{'bfs': Array([3.995, 8.005], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24755073], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00301827],[0.00244293 0.        ]
2,False,False,"[[ 4.664124e-03]
 [-7.550971e-09]]","{'bfs': Array([3.9901264, 8.009873 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24744642], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00466412],[0.00473373 0.        ]
3,False,False,"[[ 6.73810998e-03]
 [-1.18733645e-08]]","{'bfs': Array([3.9853556, 8.014645 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24446046], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00673811],[0.00683936 0.        ]
4,False,False,"[[ 8.9222193e-03]
 [-1.6240968e-08]]","{'bfs': Array([3.980719, 8.01928 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25535858], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00892222],[0.00905618 0.        ]
5,False,False,"[[ 1.0915555e-02]
 [-2.1120698e-08]]","{'bfs': Array([3.976067, 8.023933], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2577306], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01091556],[0.01107997 0.        ]
6,False,False,"[[ 1.2678795e-02]
 [-2.6201697e-08]]","{'bfs': Array([3.9714923, 8.028508 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2559538], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01267879],[0.01287006 0.        ]
7,False,False,"[[ 1.4138728e-02]
 [-3.1127279e-08]]","{'bfs': Array([3.967041, 8.032959], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2505114], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01413873],[0.01435154 0.        ]
8,False,False,"[[ 1.5648697e-02]
 [-3.6027735e-08]]","{'bfs': Array([3.962757, 8.037243], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25116885], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.0156487],[0.01588331 0.        ]
9,False,False,"[[ 1.6813267e-02]
 [-4.0378609e-08]]","{'bfs': Array([3.9585705, 8.0414295], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24738288], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01681327],[0.01706287 0.        ]
10,False,False,"[[ 1.7859237e-02]
 [-4.4347480e-08]]","{'bfs': Array([3.9545355, 8.0454645], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24487448], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01785924],[0.01812106 0.        ]
11,False,False,"[[ 1.8942978e-02]
 [-4.8423438e-08]]","{'bfs': Array([3.9506383, 8.049362 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24551702], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01894298],[0.01921757 0.        ]
12,False,False,"[[ 1.9974308e-02]
 [-5.2432092e-08]]","{'bfs': Array([3.9468389, 8.053162 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.24697316], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01997431],[0.02026056 0.        ]
13,False,False,"[[ 2.1352606e-02]
 [-5.7785790e-08]]","{'bfs': Array([3.9431262, 8.056873 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25409126], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02135261],[0.0216582 0.       ]
14,False,False,"[[ 2.2215249e-02]
 [-6.1492393e-08]]","{'bfs': Array([3.9394236, 8.060576 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2551241], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02221525],[0.0225288 0.       ]
15,False,False,"[[ 2.2892976e-02]
 [-6.4494920e-08]]","{'bfs': Array([3.9358137, 8.064186 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25524807], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02289298],[0.02321037 0.        ]
16,False,False,"[[ 2.3939917e-02]
 [-6.9127225e-08]]","{'bfs': Array([3.93231, 8.06769], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26023543], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02393992],[0.02426973 0.        ]
17,False,False,"[[ 2.4751497e-02]
 [-7.2903156e-08]]","{'bfs': Array([3.928842, 8.071158], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2632929], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.0247515],[0.02508846 0.        ]
18,False,False,"[[ 2.4837548e-02]
 [-7.3347366e-08]]","{'bfs': Array([3.9254375, 8.074563 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26055408], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02483755],[0.02516533 0.        ]
19,False,False,"[[ 2.5470933e-02]
 [-7.6355029e-08]]","{'bfs': Array([3.9221835, 8.077816 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26355338], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02547093],[0.02580247 0.        ]
20,False,False,"[[ 2.5477726e-02]
 [-7.6253926e-08]]","{'bfs': Array([3.918992, 8.081008], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26226342], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02547773],[0.02579924 0.        ]
21,False,False,"[[ 2.5203153e-02]
 [-7.4585685e-08]]","{'bfs': Array([3.9159312, 8.084068 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.25999928], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02520315],[0.02550937 0.        ]
22,False,False,"[[ 2.5836488e-02]
 [-7.7691581e-08]]","{'bfs': Array([3.9130192, 8.086981 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26452136], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02583649],[0.02614783 0.        ]
23,False,False,"[[ 2.5538275e-02]
 [-7.5775461e-08]]","{'bfs': Array([3.9101384, 8.089862 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26349986], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02553828],[0.02583532 0.        ]
24,False,False,"[[ 2.5475532e-02]
 [-7.5147824e-08]]","{'bfs': Array([3.907387, 8.092613], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26449537], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02547553],[0.02576419 0.        ]
25,False,False,"[[ 2.5125502e-02]
 [-7.2911767e-08]]","{'bfs': Array([3.9047282, 8.095272 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2643869], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.0251255],[0.02540097 0.        ]
26,False,False,"[[ 2.5130367e-02]
 [-7.2650671e-08]]","{'bfs': Array([3.9021833, 8.097816 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2664901], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02513037],[0.02540038 0.        ]
27,False,False,"[[ 2.4760582e-02]
 [-7.0361082e-08]]","{'bfs': Array([3.8997078, 8.100292 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26707232], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02476058],[0.02501894 0.        ]
28,False,False,"[[ 2.3824349e-02]
 [-6.5026292e-08]]","{'bfs': Array([3.8973322, 8.102668 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26557422], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02382435],[0.02406267 0.        ]
29,False,False,"[[ 2.3385452e-02]
 [-6.2467016e-08]]","{'bfs': Array([3.895103 , 8.1048975], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2665478], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02338545],[0.02361352 0.        ]
30,False,False,"[[ 2.2722173e-02]
 [-5.8808709e-08]]","{'bfs': Array([3.892964, 8.107037], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2669053], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02272217],[0.02293763 0.        ]
31,False,False,"[[ 2.2172978e-02]
 [-5.5843383e-08]]","{'bfs': Array([3.8909297, 8.10907  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26789236], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02217298],[0.0223786 0.       ]
32,False,False,"[[ 2.110893e-02]
 [-5.043682e-08]]","{'bfs': Array([3.8889842, 8.111015 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26739526], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02110893],[0.02129907 0.        ]
33,False,False,"[[ 2.0460924e-02]
 [-4.7248125e-08]]","{'bfs': Array([3.8871665, 8.112833 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26838756], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.02046092],[0.02064216 0.        ]
34,False,False,"[[ 1.9203631e-02]
 [-4.1456758e-08]]","{'bfs': Array([3.8854346, 8.114565 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2678287], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01920363],[0.01937025 0.        ]
35,False,False,"[[ 1.8643307e-02]
 [-3.8966245e-08]]","{'bfs': Array([3.8838356, 8.116164 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26922786], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01864331],[0.01880381 0.        ]
36,False,False,"[[ 1.7003505e-02]
 [-3.2243918e-08]]","{'bfs': Array([3.8823056, 8.117694 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2681762], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.0170035],[0.01714864 0.        ]
37,False,False,"[[ 1.5176647e-02]
 [-2.5538769e-08]]","{'bfs': Array([3.8809297, 8.11907  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26703942], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01517665],[0.01530701 0.        ]
38,False,False,"[[ 1.3602929e-02]
 [-2.0401517e-08]]","{'bfs': Array([3.8797164, 8.120283 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26661515], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01360293],[0.01372209 0.        ]
39,False,False,"[[ 1.3202177e-02]
 [-1.9175312e-08]]","{'bfs': Array([3.8786402, 8.12136  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2681533], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01320218],[0.01331884 0.        ]
40,False,False,"[[ 1.1940441e-02]
 [-1.5616347e-08]]","{'bfs': Array([3.8776054, 8.122395 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26837516], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01194044],[0.01204907 0.        ]
41,False,False,"[[ 1.1424263e-02]
 [-1.4264721e-08]]","{'bfs': Array([3.876678 , 8.1233225], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2696079], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.01142426],[0.01152986 0.        ]
42,False,False,"[[ 1.0427799e-02]
 [-1.1841557e-08]]","{'bfs': Array([3.8757973, 8.124203 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27020037], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.0104278],[0.01052739 0.        ]
43,False,False,"[[ 8.2536405e-03]
 [-7.3648851e-09]]","{'bfs': Array([3.8749993, 8.125001 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.26956964], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00825364],[0.00833972 0.        ]
44,False,False,"[[ 7.5858221e-03]
 [-6.2073053e-09]]","{'bfs': Array([3.8743715, 8.125628 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2703377], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00758582],[0.00766768 0.        ]
45,False,False,"[[ 5.6949509e-03]
 [-3.4799255e-09]]","{'bfs': Array([3.8737972, 8.126203 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2701782], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00569495],[0.00576349 0.        ]
46,False,False,"[[ 5.1075253e-03]
 [-2.7941520e-09]]","{'bfs': Array([3.8733675, 8.126633 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2707758], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00510753],[0.00517152 0.        ]
47,False,False,"[[ 2.998641e-03]
 [-9.591028e-10]]","{'bfs': Array([3.8729835, 8.127016 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27067387], dtype=float32), 'violated': Array(False, dtype=bool)}",[0.00299864],[0.00304323 0.        ]
48,False,False,"[[-3.2790856e-05]
 [-3.2253532e-13]]","{'bfs': Array([3.8727582, 8.127242 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27067423], dtype=float32), 'violated': Array(False, dtype=bool)}",[-3.2790856e-05],[-2.4593162e-05  0.0000000e+00]
49,False,False,"[[-9.8220934e-04]
 [-2.8942215e-10]]","{'bfs': Array([3.8727598, 8.12724  ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27069986], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00098221],[-0.00073666  0.        ]
50,False,False,"[[-3.3872307e-03]
 [-3.4465004e-09]]","{'bfs': Array([3.8728144, 8.127186 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27090013], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00338723],[-0.00254072  0.        ]
51,False,False,"[[-4.8936945e-03]
 [-2.5638549e-09]]","{'bfs': Array([3.8730023, 8.126998 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2714703], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00489369],[-0.004956  0.      ]
52,False,False,"[[-7.2667710e-03]
 [-5.6908114e-09]]","{'bfs': Array([3.8733692, 8.126631 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2722739], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00726677],[-0.00734673  0.        ]
53,False,False,"[[-8.113627e-03]
 [-7.111799e-09]]","{'bfs': Array([3.8739147, 8.126085 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27180982], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00811363],[-0.0081991  0.       ]
54,False,False,"[[-9.241698e-03]
 [-9.261370e-09]]","{'bfs': Array([3.8745265, 8.125473 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.2715907], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.0092417],[-0.00933423  0.        ]
55,False,False,"[[-9.9365255e-03]
 [-1.0731552e-08]]","{'bfs': Array([3.8752265, 8.124773 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27084422], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.00993653],[-0.01003321  0.        ]
56,False,False,"[[-1.2055948e-02]
 [-1.5908697e-08]]","{'bfs': Array([3.8759832, 8.124017 ], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([0.27194571], dtype=float32), 'violated': Array(False, dtype=bool)}",[-0.01205595],[-0.01216577  0.        ]
